"id","name"
"fc9a5d778d2b94ed54d658bd","Uribe"
"dd6776d392eeea0a97c12810","Petro"
"09f288d58fc9aec0ff794ee2","Lopez"
"7ad6d2caf3f759f9de4c62cc","Petro"
"daa18d4244188a6fdb29a684","Lopez"
"954a297adab01b8bef899cf5","Uribe"
"8cd44dcb39d72b6996f60a40","Lopez"
"fb9e97d45f687843ecb9bf1f","Petro"
"92db9eb2a33aacbdba33703c","Uribe"
"d7b4ece820fe90968692b4a7","Lopez"
"07560ce31eefa9fc6923b0e4","Lopez"
"3e89908d84e21fa3777d9dab","Uribe"
"9e907f8fcc1e29b44b41fa90","Petro"
"a3a8392cba85078ead5685ff","Lopez"
"7bef307702f4273289b71529","Uribe"
"4b406838402adeb28328644d","Petro"
"ac68fff1457395d15d76a6ea","Uribe"
"0cebc6abf915e5e3a097d86e","Uribe"
"2400793568895a6f83e562cc","Lopez"
"b7de4040d46e27c1185248c2","Uribe"
"4ffc91c837115de848a021e6","Petro"
"7b9870a0ad9cc442160a944b","Petro"
"860eb9cc5692ea137d52e15a","Lopez"
"334b60ac88d6218049375661","Lopez"
"07686c4f3c2db27a3a5c962e","Uribe"
"e13f558334aadcf051ad8a31","Lopez"
"66f0a16aab5e605eb9555288","Petro"
"998d290402a6d87b2d64f0a9","Uribe"
"2f3922378541b089b40789e6","Uribe"
"6e7ea35dd49596a5f1c5868a","Uribe"
"b6f693d066e20308e6106e46","Uribe"
"51b3a997b2243009d4ad16a8","Uribe"
"4dae58a2f7440e9e143f5237","Lopez"
"72cdfe0752871a567e1bc2f2","Lopez"
"af431b39a2b3ff5c73c2d871","Petro"
"ae26a1bb7c5a1455538ab839","Petro"
"eeeccb2a53a4b7b85ed64578","Uribe"
"46abc31e8533ff04ca3eabc9","Uribe"
"ce33ee221874c8f83435ec6a","Uribe"
"d3ef2f2b8bdc991b972aab8e","Uribe"
"397821817e69e58ce7af0ebd","Lopez"
"d9f88bfca8cc35f574fdb5d1","Lopez"
"6dd08262bf972cc04dd5c49c","Uribe"
"cea1860e4684e7d22b76317d","Uribe"
"4effb70e0ae84fa57f777668","Lopez"
"1b10822c923651ce837df834","Uribe"
"1fb3b8fb397725b68fcc2aac","Lopez"
"14f3ec2faa570fb8c05054c9","Uribe"
"cc6ba16687026afaa52f6f69","Lopez"
"0f1bc06caa0deafd3fd14105","Petro"
"eb0441713b3fd0902a69678d","Uribe"
"f5541e11275c529f12ccfa3a","Lopez"
"fee75c345fbbe5608e72eaf3","Uribe"
"8e1279e482add11384af8881","Petro"
"1a1a1ad5339bc2e67c79283b","Uribe"
"b7de57444a32cffea54dfccf","Lopez"
"be0578b53c5f47aa9c708aa1","Uribe"
"e1eb48e00fd624f468d7623a","Lopez"
"e417d8badc01d72829a48238","Lopez"
"f2fb42fad2e85d315e526ba8","Lopez"
"c1a20de045a9178195700209","Lopez"
"dff2a0c06ac292833e371646","Lopez"
"76363acad90a28a20e898d4e","Uribe"
"eac83872d34e52f0fb04cd7e","Lopez"
"31438f0fc4d4b6d581ca84d8","Lopez"
"47e7ebf74c2a2a4da6703db9","Petro"
"c5e98bbbf79e2476d4dd5c23","Lopez"
"4697a210c2f83462b836f542","Uribe"
